Date,Close/Last,Volume,Open,High,Low,Close,daily_return,daily_return_pct,MA_5,MA_20,MA_50,MA_200,log_ret_1,roc_5,roc_20,sma_20,sma_50,sma_100,rsi_14,EMA_12,EMA_26,MACD,Signal_Line,MACD_Histogram,KAMA,momentum_12_1,TP,MA_TP,MD,CCI,Williams_R,K,D,J,TR,ATR,log_return,HV_daily,HV_annual,excess_ret,Sharpe_Ratio,CAGR_Full,CAGR_252D,OBV,MFI,vol_6m,BB_mid,BB_upper,BB_lower,next_close,signal
03/05/2017,24.62,242,24.62,24.62,24.62,24.62,,,24.62,24.62,24.62,24.62,,,,,,,,24.62,24.62,0.0,0.0,0.0,,,24.62,,,,,50.0,50.0,50.0,0.0,,,,,,,,,0.0,,,,,,24.5275,0
04/05/2017,24.5275,1119,24.9458,24.9458,24.5275,24.5275,-0.003757108042242163,-0.3757108042242163,24.57375,24.57375,24.57375,24.57375,-0.0037641837008988155,,,,,,,24.605769230769234,24.61314814814815,-0.007378917378915162,-0.0014757834757830324,-0.0059031339031321295,,,24.666933333333333,,,,,50.0,50.0,50.0,0.41829999999999856,,-0.003764183700898712,,,-0.0038744117560766123,,-0.7471270516320537,,-1119.0,,,,,,25.346,1
05/05/2017,25.346,9758,25.0,25.346,24.96,25.346,0.03337070635001527,3.3370706350015267,24.831166666666665,24.831166666666665,24.831166666666665,24.831166666666665,0.03282598960446359,,,,,,,24.719650887573966,24.667433470507547,0.05221741706641936,0.009262856632657447,0.04295456043376191,,,25.217333333333332,,,,,50.0,50.0,50.0,0.8185000000000002,,0.03282598960446359,,,0.03325340263618082,,200.82728423951212,,8639.0,,,,,,25.26,0
08/05/2017,25.26,4712,25.75,25.75,25.15,25.26,-0.0033930403219442073,-0.33930403219442073,24.938375,24.938375,24.938375,24.938375,-0.003398809737527042,,,,,,,24.802781520254893,24.71132728750699,0.09145423274790332,0.025701131855706622,0.0657531008921967,,,25.386666666666667,,,,,50.0,50.0,50.0,0.6000000000000014,,-0.003398809737527301,,,-0.0035103440357786564,,5.518744981621098,,3927.0,,,,,,25.345,1
09/05/2017,25.345,3583,25.74,25.74,25.34,25.345,0.0033650039588279945,0.33650039588279945,25.0197,25.0197,25.0197,25.0197,0.00335935500196749,,,,,,,24.886199747907988,24.758266006950915,0.12793374095707222,0.04614765367597974,0.08178608728109248,,,25.474999999999998,,,,,50.0,50.0,50.0,0.4799999999999969,,0.00335935500196744,,,0.0032477002449935455,,4.851719954526756,,7510.0,,,,,,24.9399,0
10/05/2017,24.9399,4025,25.67,25.67,24.63,24.9399,-0.015983428684158474,-1.5983428684158474,25.083679999999998,25.0064,25.0064,25.0064,-0.016112541303556327,0.012993501218521608,,,,,,24.894461325152914,24.771720376806403,0.12274094834651095,0.06146631261008599,0.06127463573642496,,,25.079966666666667,,,,,50.0,50.0,50.0,1.0400000000000027,,-0.01611254130355614,,,-0.016100732397992923,,0.9613155285681254,,3485.0,,,,,,24.99,1
11/05/2017,24.99,2311,24.28,25.07,24.28,24.99,0.0020088292254578644,0.20088292254578644,25.17618,25.004057142857143,25.004057142857143,25.004057142857143,0.002006814226104492,0.018856385689532074,,,,,,24.909159582821697,24.78788923778371,0.12127034503798839,0.07342711909566647,0.04784322594232192,,,24.78,,,,,50.0,50.0,50.0,0.7899999999999991,,0.0020068142261044745,,,0.0018915255116234153,,0.9759259395418296,,5796.0,,,,,,24.69,0
12/05/2017,24.69,5222,25.09,25.09,24.65,24.69,-0.012004801920768249,-1.2004801920768249,25.044980000000002,24.9648,24.9648,24.9648,-0.012077441489772855,-0.0258817959441332,,,,,,24.87544272392605,24.780638183133064,0.09480454079298539,0.07770260343513026,0.017101937357855132,,,24.81,,,,,50.0,50.0,50.0,0.4400000000000013,,-0.012077441489772819,,,-0.012122105634602698,,0.12212419744185876,,574.0,,,,,,25.0,1
15/05/2017,25.0,949,25.0,25.0,25.0,25.0,0.012555690562980892,1.2555690562980892,24.99298,24.968711111111112,24.968711111111112,24.968711111111112,0.012477521511112588,-0.010292953285827466,,,,,,24.89460538178358,24.796887206604687,0.09771817517889403,0.08170571778388303,0.016012457395011004,,,25.0,,,,,50.0,50.0,50.0,0.3099999999999987,,0.012477521511112543,,,0.012438386849146443,,0.5939292296252143,,1523.0,,,,,,25.13,1
16/05/2017,25.13,1244,25.35,25.35,25.13,25.13,0.005199999999999871,0.5199999999999871,24.94998,24.98484,24.98484,24.98484,0.00518652668730013,-0.008482935490234711,,,,,,24.93081993843226,24.821562228337672,0.10925771009458884,0.0872161162460242,0.022041593848564647,24.98484,,25.203333333333333,,,,,52.607709750566855,50.86923658352228,56.08465608465599,0.3500000000000014,,0.0051865266872999334,,,0.005082696286165422,,0.7790187119648875,,2767.0,,,,,,23.79,0
