Date,Close/Last,Volume,Open,High,Low,Close,daily_return,MA_20,MA_50
11/01/2023,25.832,4243.0,25.8284,26.017,25.718,25.832,,25.832,25.832
12/01/2023,27.54,1588.0,27.23,27.54,27.23,27.54,0.06611954165376277,26.686,26.686
10/02/2023,24.1913,58.0,24.1913,24.1913,24.1913,24.1913,-0.1215940450254176,25.854433333333333,25.854433333333333
11/02/2023,26.4189,6558.0,26.22,26.52,26.22,26.4189,0.09208269088473964,25.99555,25.99555
10/03/2023,23.9611,252.0,23.96,23.9611,23.96,23.9611,-0.09303188247807448,25.588659999999997,25.588659999999997
11/03/2023,26.63,2970.0,26.64,26.89,26.6194,26.63,0.11138470270563539,25.762216666666664,25.762216666666664
10/04/2023,23.71,393.0,23.71,23.71,23.71,23.71,-0.10965076980848665,25.469042857142856,25.469042857142856
12/04/2023,27.4773,2305.0,27.31,27.5,27.31,27.4773,0.1588907633909742,25.720075,25.720075
10/05/2023,23.7,14.0,23.7,23.7,23.7,23.7,-0.13746983873961416,25.495622222222224,25.495622222222224
12/05/2023,27.2803,2461.0,27.3727,27.45,27.2803,27.2803,0.1510675105485233,25.67409,25.67409
10/06/2023,23.8975,260.0,23.875,23.8975,23.875,23.8975,-0.12400156889770275,25.51258181818182,25.51258181818182
11/06/2023,26.5344,4989.0,26.75,26.75,26.43,26.5344,0.11034208599225859,25.597733333333334,25.597733333333334
12/06/2023,27.1553,2885.0,27.3,27.36,27.1553,27.1553,0.023399813072841225,25.717546153846154,25.717546153846154
11/07/2023,26.4666,5375.0,26.46,26.56,26.4205,26.4666,-0.025361531634708556,25.77105,25.77105
12/07/2023,26.93,3741.0,27.0271,27.0499,26.93,26.93,0.01750886022382936,25.848313333333333,25.848313333333333
11/08/2023,26.3399,2045.0,26.6,26.6,26.3399,26.3399,-0.02191236539175634,25.8790375,25.8790375
12/08/2023,27.141,2473.0,27.07,27.1887,27.07,27.141,0.030413934752979266,25.953270588235295,25.953270588235295
10/09/2023,25.3693,7915.0,24.6,25.3693,24.6,25.3693,-0.06527762425850192,25.920827777777777,25.920827777777777
11/09/2023,26.1923,1944.0,26.385,26.44,26.1923,26.1923,0.03244078472799794,25.935115789473684,25.935115789473684
13/09/2023,24.739,,24.739,24.739,24.739,24.739,-0.05548577253620335,25.875310000000002,25.875310000000002
14/09/2023,24.8895,358.0,24.74,24.8895,24.74,24.8895,0.006083511863858693,25.828185,25.828366666666668
15/09/2023,24.853,63.0,24.853,24.853,24.853,24.853,-0.0014664818497760468,25.693835,25.784031818181816
18/09/2023,25.0578,345.0,25.11,25.11,25.0578,25.0578,0.008240453868748165,25.73716,25.75245652173913
19/09/2023,24.895,587.0,25.005,25.01,24.895,24.895,-0.006496978984587676,25.660964999999997,25.716729166666667
20/09/2023,24.73,331.0,24.755,24.755,24.73,24.73,-0.006627836915043095,25.69941,25.67726
21/09/2023,24.3482,443.0,24.58,24.58,24.3482,24.3482,-0.015438738374444094,25.58532,25.62614230769231
22/09/2023,24.0969,148.0,24.15,24.15,24.0969,24.0969,-0.01032109149752336,25.604665,25.569503703703706
25/09/2023,24.0887,505.0,23.99,24.0887,23.99,24.0887,-0.0003402927347502249,25.435235,25.516617857142855
26/09/2023,23.9668,801.0,24.0,24.0,23.9668,23.9668,-0.005060464035003931,25.448574999999998,25.463175862068965
27/09/2023,24.1812,7.0,24.1812,24.1812,24.1812,24.1812,0.008945708229717741,25.293619999999997,25.42044333333333
28/09/2023,24.45,458.0,24.29,24.45,24.29,24.45,0.011116073643987923,25.321244999999998,25.38913870967742
29/09/2023,24.3305,270.0,24.42,24.42,24.3305,24.3305,-0.0048875255623721525,25.21105,25.35605625
10/10/2023,25.4615,6462.0,25.64,25.64,25.4501,25.4615,0.04648486467602386,25.12636,25.359251515151513
11/10/2023,26.6093,2527.0,26.37,26.67,26.37,26.6093,0.04507982640457153,25.133495000000003,25.396017647058823
13/10/2023,25.8734,10439.0,25.95,26.0,25.8,25.8734,-0.027655744420183925,25.080665000000003,25.409657142857142
16/10/2023,25.9087,5220.0,25.99,26.02,25.75,25.9087,0.0013643355724410888,25.059105,25.423519444444445
17/10/2023,25.8932,7055.0,25.72,26.13,25.72,25.8932,-0.0005982546403331401,24.996715000000002,25.436213513513515
18/10/2023,25.7548,8725.0,26.16,26.16,25.7548,25.7548,-0.005345032672670835,25.01599,25.444597368421054
