Date,Close/Last,Volume,Open,High,Low,Close,daily_return,MA_20,MA_50
22/10/2024,25.1748,1300,26.05,26.05,25.1748,25.1748,,25.1748,25.1748
23/10/2024,24.8547,10076,24.965,25.05,24.8547,24.8547,-0.012715096048429353,25.01475,25.01475
24/10/2024,24.9671,22,24.9671,24.9671,24.9671,24.9671,0.004522283511770198,24.998866666666668,24.998866666666668
25/10/2024,24.8024,553,24.87,24.87,24.8024,24.8024,-0.006596681232502011,24.94975,24.94975
28/10/2024,24.9366,1838,24.96,25.01,24.9366,24.9366,0.0054107666999967385,24.94712,24.94712
29/10/2024,24.8137,1355,24.9,24.9,24.8137,24.8137,-0.004928498672633674,24.92488333333333,24.92488333333333
30/10/2024,24.9899,93,24.9899,24.9899,24.9899,24.9899,0.007100916026227422,24.934171428571428,24.934171428571428
31/10/2024,24.6832,164,24.68,24.6832,24.68,24.6832,-0.012272958275143075,24.9028,24.9028
01/11/2024,24.8455,1525,24.95,24.95,24.8455,24.8455,0.006575322486549684,24.896433333333334,24.896433333333334
04/11/2024,24.7356,243,24.85,24.85,24.7356,24.7356,-0.0044233362178262015,24.88035,24.88035
05/11/2024,25.3767,445,25.0,25.44,25.0,25.3767,0.025918109930626265,24.92547272727273,24.92547272727273
06/11/2024,25.4568,534,25.0901,25.4568,25.0901,25.4568,0.003156438780456128,24.96975,24.96975
07/11/2024,26.1382,1608,25.97,26.1382,25.97,26.1382,0.02676691493039196,25.05963076923077,25.05963076923077
08/11/2024,25.74,5260,25.75,25.8,25.73,25.74,-0.0152344078781248,25.108228571428572,25.108228571428572
11/11/2024,26.1128,1290,26.1095,26.23,26.1095,26.1128,0.01448329448329444,25.1752,25.1752
12/11/2024,25.63,2710,25.65,25.65,25.5299,25.63,-0.01848901688061033,25.203625,25.203625
13/11/2024,25.23,2146,25.25,25.25,25.1,25.23,-0.015606710885680775,25.205176470588235,25.205176470588235
14/11/2024,24.8402,1892,25.03,25.72,24.8402,24.8402,-0.01544986127625847,25.1849,25.1849
15/11/2024,24.6006,712,24.78,24.78,24.6006,24.6006,-0.009645655026932154,25.154147368421054,25.154147368421054
18/11/2024,24.7989,1414,24.71,24.94,24.71,24.7989,0.00806077900539015,25.136385,25.136385
19/11/2024,24.908,100,24.908,24.908,24.908,24.908,0.004399388682562622,25.123044999999998,25.125509523809527
20/11/2024,24.7781,92,24.7781,24.7781,24.7781,24.7781,-0.005215191906215,25.119215,25.109718181818184
21/11/2024,24.9048,12,24.9048,24.9048,24.9048,24.9048,0.005113386417844978,25.1161,25.100808695652173
22/11/2024,24.7939,284,24.9,24.9,24.785,24.7939,-0.004452956859721802,25.115675000000003,25.08802083333333
25/11/2024,24.7001,1034,24.7,24.7001,24.69,24.7001,-0.0037831886068750986,25.10385,25.072504
26/11/2024,24.5508,1351,24.75,24.75,24.5508,24.5508,-0.006044509941255272,25.090705,25.05243846153846
27/11/2024,24.8197,128,24.8197,24.8197,24.8197,24.8197,0.010952799908760635,25.082195000000002,25.043818518518517
29/11/2024,25.0899,17908,25.18,25.18,25.04,25.0899,0.01088651353561887,25.10253,25.045464285714285
02/12/2024,25.1908,924,25.15,25.2485,25.15,25.1908,0.00402153854738363,25.119795,25.050475862068964
03/12/2024,25.6188,1639,25.51,25.66,25.51,25.6188,0.016990329802943904,25.163955,25.069419999999997
04/12/2024,25.8365,1435,25.96,25.96,25.8,25.8365,0.008497665776695307,25.186945,25.09416451612903
05/12/2024,25.4676,4176,25.54,25.55,25.4676,25.4676,-0.014278249762932238,25.187485000000002,25.105834375
06/12/2024,25.412,3630,25.67,25.67,25.4106,25.412,-0.0021831660619768822,25.151175000000002,25.11511212121212
09/12/2024,25.0196,337,25.19,25.19,25.0196,25.0196,-0.015441523689595393,25.115155,25.11230294117647
10/12/2024,24.6083,1212,24.8,24.8,24.56,24.6083,-0.01643911173639867,25.039930000000002,25.097902857142856
11/12/2024,24.9602,9,24.9602,24.9602,24.9602,24.9602,0.014300053234071353,25.00644,25.094077777777777
12/12/2024,24.943,312,24.99,24.99,24.943,24.943,-0.0006890970424916487,24.992089999999997,25.089994594594593
13/12/2024,24.997,1469,25.06,25.06,24.997,24.997,0.0021649360542035367,24.99993,25.087547368421053
16/12/2024,25.0672,34,25.0672,25.0672,25.0672,25.0672,0.002808337000440142,25.02326,25.08702564102564
17/12/2024,24.8934,107,25.039,25.039,24.8934,24.8934,-0.006933363119933644,25.027984999999997,25.082185000000003
18/12/2024,24.5572,97,24.5572,24.5572,24.5572,24.5572,-0.013505587826492138,25.010445,25.069380487804874
19/12/2024,24.57,409,24.57,24.57,24.57,24.57,0.000521232062287158,25.000040000000002,25.057490476190477
20/12/2024,24.5213,435,24.45,24.5213,24.45,24.5213,-0.0019820919820919825,24.980865,25.045020930232557
23/12/2024,24.4876,515,24.46,24.5,24.46,24.4876,-0.0013743153911089934,24.96555,25.032352272727277
24/12/2024,24.52,80,24.52,24.52,24.52,24.52,0.0013231186396380767,24.956545000000002,25.02096666666667
26/12/2024,24.6298,64,24.6298,24.6298,24.6298,24.6298,0.00447797716150089,24.960495,25.01246304347826
27/12/2024,24.5939,699,24.54,24.5939,24.44,24.5939,-0.0014575839024270065,24.949205,25.00355744680851
30/12/2024,24.4038,3216,24.395,24.4038,24.32,24.4038,-0.0077295589556760635,24.9149,24.991062499999998
31/12/2024,24.2398,9,24.2398,24.2398,24.2398,24.2398,-0.006720264876781568,24.867350000000002,24.9757306122449
02/01/2025,24.3964,243,24.5,24.5,24.3964,24.3964,0.006460449343641539,24.80623,24.964144
03/01/2025,24.4519,10,24.4519,24.4519,24.4519,24.4519,0.0022749258087257918,24.737000000000002,24.949686
06/01/2025,24.4595,280,24.48,24.48,24.4595,24.4595,0.0003108142925498658,24.686595,24.941782
07/01/2025,24.5199,1399,24.645,24.65,24.5199,24.5199,0.0024693881722848143,24.64199,24.932838
08/01/2025,24.8446,122,24.8446,24.8446,24.8446,24.8446,0.01324230522962977,24.633239999999997,24.933681999999997
10/01/2025,24.7718,469,25.1,25.1,24.7718,24.7718,-0.0029302142115389396,24.641415000000002,24.930386
